stopId,stopPublicId,name,coordinate,type,flag,stopAccessibilityMask,lines,directionPerLine,id
2952,2952,MAJOR MACKENZIE DR / BATHURST ST,"{'lat': 43.865603, 'lon': -79.463954}",N,,1,['004'],['EASTBOUND'],2952
2953,2953,MAJOR MACKENZIE DR / DON HEAD VILLAGE,"{'lat': 43.866675, 'lon': -79.457965}",S,,1,"['004', '446']","['EASTBOUND', 'AFTERNOON']",2953
2960,2960,MAJOR MACKENZIE DR STOP # 2960,"{'lat': 43.867643, 'lon': -79.453622}",S,,1,['004'],['EASTBOUND'],2960
2961,2961,MAJOR MACKENZIE DR / HARDING BLVD,"{'lat': 43.868574, 'lon': -79.449096}",S,,1,['004'],['EASTBOUND'],2961
2962,2962,MAJOR MACKENZIE DR / ARNOLD CRES,"{'lat': 43.869707, 'lon': -79.443744}",S,,1,"['004', '025']","['EASTBOUND', 'EASTBOUND']",2962
2963,2963,MAJOR MACKENZIE DR / ATKINSON ST,"{'lat': 43.870331, 'lon': -79.440822}",S,,1,"['004', '025']","['EASTBOUND', 'EASTBOUND']",2963
2964,2964,MAJOR MACKENZIE DR / YONGE ST,"{'lat': 43.871055, 'lon': -79.437609}",N,,1,"['004', '025']","['EASTBOUND', 'EASTBOUND']",2964
2965,2965,MAJOR MACKENZIE DR / BAKER AV,"{'lat': 43.87184, 'lon': -79.434281}",S,,1,"['004', '025']","['EASTBOUND', 'EASTBOUND']",2965
2966,2966,MAJOR MACKENZIE DR / PUGSLEY AV,"{'lat': 43.872728, 'lon': -79.430302}",S,,1,"['004', '025']","['EASTBOUND', 'EASTBOUND']",2966
4265,4265,MAJOR MACKENZIE DR / CEDAR AV,"{'lat': 43.873121, 'lon': -79.428468}",S,,0,"['004', '025']","['EASTBOUND', 'EASTBOUND']",4265
2968,2968,MAJOR MACKENZIE DR / ESSEX AV,"{'lat': 43.8739, 'lon': -79.42471}",N,,1,"['004', '025']","['EASTBOUND', 'EASTBOUND']",2968
2969,2969,MAJOR MACKENZIE DR / SUSSEX AV,"{'lat': 43.874668, 'lon': -79.421289}",S,,1,"['004', '025']","['EASTBOUND', 'EASTBOUND']",2969
16627,6605,MAJOR MACKENZIE DR / COLBORNE AV,"{'lat': 43.875363, 'lon': -79.418196}",S,,1,"['004', '025']","['EASTBOUND', 'EASTBOUND']",6605
2970,2970,MAJOR MACKENZIE DR / BAYVIEW AV,"{'lat': 43.875861, 'lon': -79.415815}",N,,1,"['004', '025']","['EASTBOUND', 'EASTBOUND']",2970
5045,5045,MAJOR MACKENZIE DR / OLD MARKHAM RD,"{'lat': 43.876103, 'lon': -79.412503}",S,,1,"['004', '025']","['EASTBOUND', 'EASTBOUND']",5045
5046,5046,MAJOR MACKENZIE DR / SPADINA RD,"{'lat': 43.876794, 'lon': -79.406801}",S,,1,"['004', '025']","['EASTBOUND', 'EASTBOUND']",5046
5047,5047,MAJOR MACKENZIE DR / BOAKE TRL,"{'lat': 43.878096, 'lon': -79.400789}",S,,1,"['004', '025']","['EASTBOUND', 'EASTBOUND']",5047
5048,5048,MAJOR MACKENZIE DR / FORESTWOOD ST,"{'lat': 43.878923, 'lon': -79.39694}",S,,0,"['004', '025']","['EASTBOUND', 'EASTBOUND']",5048
5049,5049,MAJOR MACKENZIE DR / LESLIE ST,"{'lat': 43.880199, 'lon': -79.392005}",N,,1,"['004', '025']","['EASTBOUND', 'EASTBOUND']",5049
16176,6334,MAJOR MACKENZIE RD / VIA RENZO,"{'lat': 43.881611, 'lon': -79.386694}",S,,0,"['004', '025']","['EASTBOUND', 'EASTBOUND']",6334
5050,5050,MAJOR MACKENZIE DR / MARKLAND ST,"{'lat': 43.884489, 'lon': -79.373531}",S,,1,"['004', '025', '449']","['EASTBOUND', 'EASTBOUND', 'AFTERNOON']",5050
1678,1678,MAJOR MACKENZIE DR / NICHOLS BLVD,"{'lat': 43.885128, 'lon': -79.370487}",S,,1,"['004', '024', '025']","['EASTBOUND', 'NORTHBOUND', 'EASTBOUND']",1678
1680,1680,MAJOR MACKENZIE DR / WOODBINE AV,"{'lat': 43.88568, 'lon': -79.36778}",S,,1,"['004', '024', '025']","['EASTBOUND', 'NORTHBOUND', 'EASTBOUND']",1680
1664,1664,WOODBINE AV / MAJOR MACKENZIE DR,"{'lat': 43.884408, 'lon': -79.366976}",S,,1,"['004', '024', '418', '449']","['EASTBOUND', 'SOUTHBOUND', 'MORNING', 'MORNING']",1664
1666,1666,WOODBINE AV / OAKFORD DR,"{'lat': 43.881318, 'lon': -79.366257}",S,,1,"['004', '024', '418', '449']","['EASTBOUND', 'SOUTHBOUND', 'MORNING', 'MORNING']",1666
1668,1668,WOODBINE AV / HILLMOUNT RD,"{'lat': 43.876989, 'lon': -79.365167}",S,,1,"['004', '024', '449']","['EASTBOUND', 'SOUTHBOUND', 'MORNING']",1668
1670,1670,HILLMOUNT RD / HOPECREST RD,"{'lat': 43.876536, 'lon': -79.368041}",S,,1,"['004', '024', '449']","['EASTBOUND', 'NORTHBOUND', 'MORNING']",1670
1672,1672,HILLMOUNT RD / MARKLAND ST,"{'lat': 43.876124, 'lon': -79.371399}",S,,1,"['004', '024', '449']","['EASTBOUND', 'NORTHBOUND', 'MORNING']",1672
1674,1674,MARKLAND ST / BARTLETT RD,"{'lat': 43.87885, 'lon': -79.37251}",S,,1,"['004', '449']","['EASTBOUND', 'MORNING']",1674
3207,3207,HILLMOUNT RD / MARKLAND ST,"{'lat': 43.880748, 'lon': -79.374015}",S,,1,"['004', '024']","['EASTBOUND', 'SOUTHBOUND']",3207
3208,3208,HILLMOUNT RD STOP # 3208,"{'lat': 43.879721, 'lon': -79.376179}",S,,1,"['004', '024']","['EASTBOUND', 'SOUTHBOUND']",3208
